genres,release_date,id,item_id,playtime_forever
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-04,761140.0,4000,20
"['Free to Play', 'Indie', 'RPG', 'Strategy']",2018-01-04,643980.0,20900,95
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",2017-07-24,670290.0,31280,7
"['Action', 'Adventure', 'Casual']",2017-12-07,767400.0,20920,6
"['Action', 'Adventure', 'Simulation']",2018-01-04,772540.0,99900,40
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04,774276.0,102700,1
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04,774277.0,104700,5
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04,774278.0,218230,170
"['Casual', 'Indie', 'Racing', 'Simulation']",2018-01-04,768800.0,230410,27
"['Action', 'Indie', 'Simulation', 'Early Access']",Soon..,768570.0,216150,0
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2018-01-04,770380.0,218620,19
"['Casual', 'Indie']",2018-01-04,768880.0,252950,164
"['Casual', 'Indie', 'Simulation']",2018-01-03,765320.0,282660,59
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-03,773650.0,304050,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-03,774271.0,304930,147
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-03,773690.0,291480,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-03,774279.0,205790,0
"['Action', 'Adventure', 'Indie']",2018-01-03,768060.0,333930,20
"['Racing', 'Simulation', 'Sports']",2017-12-22,775880.0,292030,9986
"['Racing', 'Simulation', 'Sports']",2017-12-23,775881.0,373680,0
"['Action', 'Indie']",2018-01-03,653960.0,291550,14
"['Action', 'Indie', 'Racing']",1997-06-30,282010.0,236110,173
['Action'],1998-11-08,70.0,319630,0
"['Action', 'Indie', 'RPG']",2016-11-25,752360.0,70,1404
"['Casual', 'Indie', 'Strategy']",2018-01-01,520680.0,400,285
['Action'],2018-01-01,690410.0,15190,813
"['Casual', 'Indie', 'Simulation']",2018-01-01,766850.0,22300,15892
